<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
Date: 01/01/20 Time: 22:32 Location: Raffles Hotel
64 bytes from 8.8.8.8: icmp_seq=296 ttl=55 time=21.260 ms
64 bytes from 8.8.8.8: icmp_seq=297 ttl=55 time=17.728 ms
64 bytes from 8.8.8.8: icmp_seq=298 ttl=55 time=21.546 ms
64 bytes from 8.8.8.8: icmp_seq=299 ttl=55 time=18.229 ms
64 bytes from 8.8.8.8: icmp_seq=300 ttl=55 time=17.934 ms
64 bytes from 8.8.8.8: icmp_seq=301 ttl=55 time=17.803 ms
64 bytes from 8.8.8.8: icmp_seq=302 ttl=55 time=17.354 ms
64 bytes from 8.8.8.8: icmp_seq=303 ttl=55 time=47.734 ms
64 bytes from 8.8.8.8: icmp_seq=304 ttl=55 time=18.331 ms
64 bytes from 8.8.8.8: icmp_seq=305 ttl=55 time=18.118 ms
64 bytes from 8.8.8.8: icmp_seq=306 ttl=55 time=67.583 ms
64 bytes from 8.8.8.8: icmp_seq=307 ttl=55 time=17.597 ms
64 bytes from 8.8.8.8: icmp_seq=308 ttl=55 time=19.247 ms
64 bytes from 8.8.8.8: icmp_seq=309 ttl=55 time=30.111 ms
64 bytes from 8.8.8.8: icmp_seq=310 ttl=55 time=17.731 ms
64 bytes from 8.8.8.8: icmp_seq=311 ttl=55 time=19.903 ms
64 bytes from 8.8.8.8: icmp_seq=312 ttl=55 time=17.459 ms
64 bytes from 8.8.8.8: icmp_seq=313 ttl=55 time=24.442 ms
64 bytes from 8.8.8.8: icmp_seq=314 ttl=55 time=17.999 ms
64 bytes from 8.8.8.8: icmp_seq=315 ttl=55 time=17.761 ms
64 bytes from 8.8.8.8: icmp_seq=316 ttl=55 time=18.461 ms
64 bytes from 8.8.8.8: icmp_seq=317 ttl=55 time=16.924 ms
64 bytes from 8.8.8.8: icmp_seq=318 ttl=55 time=17.311 ms
64 bytes from 8.8.8.8: icmp_seq=319 ttl=55 time=17.989 ms
64 bytes from 8.8.8.8: icmp_seq=320 ttl=55 time=17.904 ms
64 bytes from 8.8.8.8: icmp_seq=321 ttl=55 time=16.777 ms
64 bytes from 8.8.8.8: icmp_seq=322 ttl=55 time=20.067 ms
64 bytes from 8.8.8.8: icmp_seq=323 ttl=55 time=17.855 ms
64 bytes from 8.8.8.8: icmp_seq=324 ttl=55 time=17.541 ms
64 bytes from 8.8.8.8: icmp_seq=325 ttl=55 time=17.917 ms
64 bytes from 8.8.8.8: icmp_seq=326 ttl=55 time=24.444 ms
